x1,x2,x3,x4,x5,x6
-823,164,-603,875,46,-109
683,789,951,724,-6,411
525,655,856,766,-156,507
-8,730,-936,-716,-936,878
-176,685,883,-214,533,299
-410,385,-299,-47,-765,215
-839,309,-609,937,-34,3
285,295,78,186,-270,486
629,733,992,664,-187,557
-517,575,-5,108,-819,381
81,662,-1052,-917,-937,704
143,743,-900,-908,-818,743
-379,542,0,-45,-1002,330
57,467,74,255,-164,223
610,558,952,622,-177,728
-912,429,-810,1023,-3,-256
56,355,397,237,34,382
-722,229,-697,993,39,-265
-471,672,-191,105,-900,324
90,877,-785,-823,-887,554
132,1089,-824,-730,-1109,487
32,391,254,78,-355,498
561,769,1122,443,-122,703
738,732,999,622,-139,660
550,596,965,692,-16,456
-28,810,-911,-823,-844,682
-462,690,5,-2,-875,253
-146,675,962,-195,536,36
60,846,-947,-694,-1045,575
66,262,320,197,-234,145
-203,772,821,-151,629,85
-27,844,-708,-773,-898,531
506,732,958,755,-7,640
355,798,867,402,81,625
-2,790,799,-291,557,39
-554,454,-98,31,-937,296
-361,785,792,-309,784,53
11,621,178,170,-57,276
-190,801,977,-128,611,232
-554,411,68,42,-1028,256
42,952,-715,-786,-1018,777
183,365,102,157,-233,222
138,861,-835,-927,-971,696
-712,315,-871,1113,-98,21
-172,845,997,-232,676,91
174,512,421,223,-189,267
-628,370,-445,869,-56,-244
-640,621,-17,106,-1072,232
746,738,927,562,-266,543
559,654,885,508,-92,665
134,933,-790,-896,-955,508
-822,234,-700,748,8,31
-630,548,-193,81,-959,253
714,660,900,567,-50,613
160,270,95,94,-226,446
-843,257,-582,886,158,-136
-65,747,846,-344,570,171
10,372,174,95,-269,381
62,446,328,210,-191,261
790,612,920,692,-47,644
-513,484,-254,124,-998,313
328,324,191,203,-142,350
-499,432,-249,85,-788,205
268,754,-851,-846,-1035,576
-686,202,-702,902,-17,-252
-9,535,165,212,-131,389
552,586,977,651,-53,700
-147,692,759,-322,607,-31
159,522,243,-20,-122,424
0,937,-749,-888,-983,577
167,903,-835,-780,-966,533
